card_id,card_name,card_number,set_id,set_name,card_market_value,binder_name,page_number,slot_number,index
base4-1,Alakazam,1,base4,Base Set 2,36.39,2,1,1,2-1-1
base4-2,Blastoise,2,base4,Base Set 2,102.11,2,1,2,2-1-2
base4-3,Chansey,3,base4,Base Set 2,14.35,2,1,3,2-1-3
base4-4,Charizard,4,base4,Base Set 2,297.08,2,1,4,2-1-4
base4-5,Clefable,5,base4,Base Set 2,14.19,2,1,5,2-1-5
base4-6,Clefairy,6,base4,Base Set 2,10.74,2,1,6,2-1-6
base4-7,Gyarados,7,base4,Base Set 2,26.74,2,1,7,2-1-7
base4-8,Hitmonchan,8,base4,Base Set 2,21.05,2,1,8,2-1-8
base4-9,Magneton,9,base4,Base Set 2,12.07,2,1,9,2-1-9
base4-10,Mewtwo,10,base4,Base Set 2,39.96,2,2,1,2-2-1
base4-11,Nidoking,11,base4,Base Set 2,23.83,2,2,2,2-2-2
base4-12,Nidoqueen,12,base4,Base Set 2,22.99,2,2,3,2-2-3
base4-13,Ninetales,13,base4,Base Set 2,21.08,2,2,4,2-2-4
base4-14,Pidgeot,14,base4,Base Set 2,27.11,2,2,5,2-2-5
base4-15,Poliwrath,15,base4,Base Set 2,13.64,2,2,6,2-2-6
base4-16,Raichu,16,base4,Base Set 2,33.01,2,2,7,2-2-7
base4-17,Scyther,17,base4,Base Set 2,24.35,2,2,8,2-2-8
base4-18,Venusaur,18,base4,Base Set 2,73.03,2,2,9,2-2-9
base4-19,Wigglytuff,19,base4,Base Set 2,11.14,2,3,1,2-3-1
base4-20,Zapdos,20,base4,Base Set 2,24.0,2,3,2,2-3-2
base4-21,Beedrill,21,base4,Base Set 2,1.91,2,3,3,2-3-3
base4-22,Dragonair,22,base4,Base Set 2,8.58,2,3,4,2-3-4
base4-23,Dugtrio,23,base4,Base Set 2,3.23,2,3,5,2-3-5
base4-24,Electabuzz,24,base4,Base Set 2,3.22,2,3,6,2-3-6
base4-25,Electrode,25,base4,Base Set 2,3.89,2,3,7,2-3-7
base4-26,Kangaskhan,26,base4,Base Set 2,3.11,2,3,8,2-3-8
base4-27,Mr. Mime,27,base4,Base Set 2,6.04,2,3,9,2-3-9
base4-28,Pidgeotto,28,base4,Base Set 2,4.08,2,4,1,2-4-1
base4-29,Pinsir,29,base4,Base Set 2,3.3,2,4,2,2-4-2
base4-30,Snorlax,30,base4,Base Set 2,9.51,2,4,3,2-4-3
base4-31,Venomoth,31,base4,Base Set 2,3.29,2,4,4,2-4-4
base4-32,Victreebel,32,base4,Base Set 2,2.82,2,4,5,2-4-5
